step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
358,0.00637,1.0,,
359,0.0,1.0,,
360,0.0,1.0,,
361,0.0,1.0,,
362,0.0,1.0,,
363,0.0,1.0,,
364,0.0,1.0,,
365,0.0,1.0,,
366,2.09829,0.88889,,
367,0.0,1.0,,
368,0.0,1.0,,
369,2.01025,0.88889,,
370,1.99373,0.88889,,
371,0.0,1.0,,
372,0.0,1.0,,
373,0.0,1.0,,
374,1.99273,0.88889,,
375,0.0,1.0,,
376,0.0,1.0,,
377,0.0,1.0,,
378,0.0,1.0,,
379,0.0,1.0,,
380,0.0,1.0,,
381,0.0,1.0,,
382,0.0,1.0,,
383,1.92747,0.88889,,
384,0.0,1.0,,
385,0.0,1.0,,
386,0.0,1.0,,
387,0.0,1.0,,
388,1.82815,0.88889,,
389,0.0,1.0,,
390,0.0,1.0,,
391,1.85906,0.88889,,
392,1.517,0.88889,,
393,1.67974,0.88889,,
394,1.70867,0.88889,,
395,0.0,1.0,,
396,0.0,1.0,,
397,0.0,1.0,,
398,0.0,1.0,,
399,1.46099,0.88889,,
400,0.0,1.0,,
401,0.0,1.0,0.0,0.33333
402,0.0,1.0,,
403,0.0,1.0,,
404,0.0,1.0,,
405,0.0,1.0,,
406,1.74139,0.88889,,
407,0.24507,0.88889,,
408,0.0,1.0,,
409,0.0,1.0,,
410,1.04732,0.88889,,
411,0.0,1.0,,
412,0.0,1.0,,
413,1.09117,0.88889,,
414,1.87195,0.88889,,
415,0.0,1.0,,
416,0.0,1.0,,
417,0.0,1.0,,
418,0.0,1.0,,
419,0.0,1.0,,
420,0.0,1.0,,
421,0.0,1.0,,
422,1.3154,0.88889,,
423,0.0,1.0,,
424,4.03553,0.77778,,
425,0.0,1.0,,
426,0.0,1.0,,
427,0.0,1.0,,
428,1.84797,0.88889,,
429,0.81106,0.88889,,
430,1.90328,0.88889,,
431,0.0,1.0,,
432,1.75848,0.88889,,
433,0.0,1.0,,
434,0.0,1.0,,
435,0.0,1.0,,
436,1.5992,0.88889,,
437,0.0,1.0,,
438,0.0,1.0,,
439,1.42109,0.88889,,
440,1.43246,0.88889,,
441,0.0,1.0,,
442,0.0,1.0,,
443,0.0,1.0,,
444,0.0,1.0,,
445,0.0,1.0,,
446,1.52079,0.88889,,
447,0.0,1.0,,
448,1.58324,0.88889,,
449,0.0,1.0,,
450,0.0,1.0,,
451,0.0,1.0,,
452,0.0,1.0,,
453,1.42817,0.88889,,
454,3.48911,0.77778,,
455,0.0,1.0,,
456,1.97508,0.88889,,
457,1.55056,0.88889,,
458,1.92502,0.88889,,
459,0.0,1.0,,
460,0.0,1.0,,
461,0.0,1.0,,
462,1.84347,0.88889,,
463,0.0,1.0,,
464,0.0,1.0,,
465,0.0,1.0,,
466,0.0,1.0,,
467,3.36816,0.77778,,
468,1.83655,0.88889,,
469,0.7815,0.88889,,
470,0.0,1.0,,
471,0.0,1.0,,
472,1.26248,0.88889,,
473,0.0,1.0,,
474,0.0,1.0,,
475,0.0,1.0,,
476,0.0,1.0,,
477,0.03382,1.0,,
478,1.32185,0.88889,,
479,0.0,1.0,,
480,0.0,1.0,,
481,1.63803,0.88889,,
482,1.74184,0.88889,,
483,0.0,1.0,,
484,0.00016,1.0,,
485,0.00096,1.0,,
486,0.0,1.0,,
487,0.0,1.0,,
488,0.0,1.0,,
489,1.75807,0.88889,,
490,0.0,1.0,,
491,0.0,1.0,,
492,1.62322,0.88889,,
493,0.0,1.0,,
494,0.0,1.0,,
495,0.0,1.0,,
496,1.89035,0.88889,,
497,0.01533,1.0,,
498,2.84836,0.77778,,
499,0.0,1.0,,
500,0.0,1.0,,
501,0.0,1.0,0.00014,0.33333
502,2.91207,0.77778,,
503,1e-05,1.0,,
504,0.0,1.0,,
505,0.0,1.0,,
506,2e-05,1.0,,
507,2.24276,0.88889,,
508,1.60419,0.88889,,
509,2.06086,0.88889,,
510,3.88442,0.77778,,
511,1.98645,0.88889,,
512,0.0,1.0,,
513,1.8393,0.88889,,
514,2.01553,0.88889,,
515,1.0501,0.88889,,
516,1.69518,0.88889,,
517,0.0,1.0,,
518,0.50882,0.88889,,
519,0.99612,0.88889,,
520,0.66252,0.88889,,
521,0.0,1.0,,
522,0.0,1.0,,
523,0.0,1.0,,
524,0.74922,0.77778,,
525,0.0,1.0,,
526,0.09143,0.88889,,
527,1.63974,0.88889,,
528,0.0,1.0,,
529,0.0,1.0,,
530,0.0,1.0,,
531,1.50546,0.88889,,
532,0.0,1.0,,
533,0.16401,0.88889,,
534,0.0,1.0,,
535,1.85009,0.88889,,
536,0.0,1.0,,
537,0.0,1.0,,
538,0.0,1.0,,
539,0.0,1.0,,
540,0.0,1.0,,
541,0.0,1.0,,
542,0.0,1.0,,
543,0.0,1.0,,
544,0.0,1.0,,
545,0.0,1.0,,
546,1.92904,0.88889,,
547,0.0,1.0,,
548,1.83959,0.88889,,
549,0.0,1.0,,
550,0.0,1.0,,
551,0.0,1.0,,
552,1.06467,0.88889,,
553,5.42259,0.66667,,
554,1.86128,0.88889,,
