step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
337,1e-05,1.0,,
338,2.9973,0.77778,,
339,0.00262,1.0,,
340,0.98556,0.88889,,
341,1.39334,0.88889,,
342,1e-05,1.0,,
343,0.0,1.0,,
344,1.39889,0.88889,,
345,1.51492,0.88889,,
346,0.0,1.0,,
347,1.56738,0.88889,,
348,0.0,1.0,,
349,0.0,1.0,,
350,2.08074,0.88889,,
351,1.60402,0.88889,,
352,1.806,0.88889,,
353,1.84755,0.88889,,
354,1.89312,0.88889,,
355,0.0,1.0,,
356,0.0,1.0,,
357,0.0,1.0,,
358,0.0,1.0,,
359,0.00186,1.0,,
360,1.42914,0.88889,,
361,2.93863,0.77778,,
362,1.04721,0.88889,,
363,0.0,1.0,,
364,1.40975,0.88889,,
365,0.0,1.0,,
366,1.18702,0.88889,,
367,1.92255,0.77778,,
368,1e-05,1.0,,
369,7e-05,1.0,,
370,1.22491,0.88889,,
371,1.29586,0.88889,,
372,0.26215,0.88889,,
373,1.29414,0.88889,,
374,0.02717,1.0,,
375,1e-05,1.0,,
376,1.07864,0.88889,,
377,1e-05,1.0,,
378,1e-05,1.0,,
379,1.88631,0.77778,,
380,2e-05,1.0,,
381,2.76241,0.77778,,
382,2e-05,1.0,,
383,3e-05,1.0,,
384,1.23464,0.88889,,
385,2.69407,0.66667,,
386,2e-05,1.0,,
387,7e-05,1.0,,
388,1e-05,1.0,,
389,1e-05,1.0,,
390,1e-05,1.0,,
391,1e-05,1.0,,
392,1.19121,0.88889,,
393,0.0,1.0,,
394,0.0,1.0,,
395,1.25181,0.88889,,
396,1.66314,0.88889,,
397,1.44393,0.88889,,
398,1.4896,0.88889,,
399,0.0,1.0,,
400,1.51549,0.88889,,
401,0.0,1.0,0.0,0.33333
402,0.0,1.0,,
403,0.0,1.0,,
404,2.80668,0.77778,,
405,0.0,1.0,,
406,0.0,1.0,,
407,0.0,1.0,,
408,0.0,1.0,,
409,0.0,1.0,,
410,0.0,1.0,,
411,1.99787,0.88889,,
412,0.0,1.0,,
413,0.0,1.0,,
414,0.00012,1.0,,
415,0.0,1.0,,
416,0.0,1.0,,
417,0.0,1.0,,
418,2.03663,0.88889,,
419,1.71311,0.88889,,
420,1.50356,0.88889,,
421,1.81786,0.88889,,
422,0.00403,1.0,,
423,1.67575,0.88889,,
424,0.0,1.0,,
425,1.75077,0.88889,,
426,0.0,1.0,,
427,0.0,1.0,,
428,1.34045,0.88889,,
429,1.2243,0.88889,,
430,0.0,1.0,,
431,1.29691,0.88889,,
432,0.0,1.0,,
433,0.0,1.0,,
434,1.28115,0.88889,,
435,1.37067,0.88889,,
436,0.0,1.0,,
437,0.00238,1.0,,
438,1.31733,0.88889,,
439,0.0,1.0,,
440,0.0018,1.0,,
441,0.0,1.0,,
442,1.15171,0.88889,,
443,0.0,1.0,,
444,1e-05,1.0,,
445,0.0,1.0,,
446,1.47532,0.88889,,
447,0.0,1.0,,
448,0.0,1.0,,
449,1.48646,0.88889,,
450,0.0,1.0,,
451,0.0,1.0,,
452,0.0,1.0,,
453,0.20102,0.88889,,
454,0.00015,1.0,,
455,1.42639,0.88889,,
456,1.34062,0.88889,,
457,0.0,1.0,,
458,1.35725,0.88889,,
459,0.0,1.0,,
460,1.94464,0.88889,,
461,3.07399,0.77778,,
462,1.5757,0.88889,,
463,1.82069,0.88889,,
464,1.23631,0.88889,,
465,0.0,1.0,,
466,0.0,1.0,,
467,1.75168,0.88889,,
468,3.1588,0.77778,,
469,0.966,0.88889,,
